epoch, lr, loss_train, loss_train_image, loss_train_latent, loss_val, loss_val_image, loss_val_latent, loss_sen_tra, loss_sen_val
0, 1e-05,             0.7239186895461283, 0.27609186741159775, 0.44782682213453046,             0.3856920561269835, 0.36817860249988305, 0.01751345362710043,             0, 0 
1, 1e-05,             0.24382625878296124, 0.23553847701195815, 0.0082877817710031,             0.48618841401737456, 0.4680426734958494, 0.018145740521525167,             0, 0 
2, 1e-05,             0.23309393175590687, 0.22597292310271938, 0.0071210086531874744,             0.569096437924348, 0.5540610808738831, 0.015035357050465057,             0, 0 
3, 1e-05,             0.22799281221990286, 0.22134345168296474, 0.006649360536938104,             0.4821836727832705, 0.46925321935484904, 0.012930453428421435,             0, 0 
4, 1e-05,             0.22217692238261844, 0.2161400286656694, 0.0060368937169490485,             0.3915563956902605, 0.3815586756940625, 0.009997719996198074,             0, 0 
5, 1.0000000000000002e-06,             0.2114321551473621, 0.20818020564822726, 0.003251949499134858,             0.24831142708225232, 0.24553912342007025, 0.002772303662182055,             0, 0 
6, 1.0000000000000002e-06,             0.21016749997568157, 0.2077522171699933, 0.0024152828056882764,             0.25897728566074046, 0.2565552105269553, 0.0024220751337851554,             0, 0 
7, 1.0000000000000002e-06,             0.20960874089846854, 0.20742433752093592, 0.0021844033775326364,             0.2351808059123572, 0.23290166697485642, 0.002279138937500788,             0, 0 
8, 1.0000000000000002e-06,             0.2091554993849357, 0.20709735863983672, 0.0020581407450989907,             0.25139134952684933, 0.24918415404277797, 0.002207195484071367,             0, 0 
9, 1.0000000000000002e-06,             0.20878464737468252, 0.20680830029213063, 0.001976347082551916,             0.25273591701974524, 0.2505723338496859, 0.002163583170059302,             0, 0 
10, 1.0000000000000002e-06,             0.20847405841160344, 0.20654792948055212, 0.0019261289310513086,             0.25127380527124754, 0.24917530935604146, 0.0020984959152060864,             0, 0 
11, 1.0000000000000002e-06,             0.20813715074617545, 0.20624897084825805, 0.0018881798979174173,             0.23874434581316958, 0.2367421739221444, 0.0020021718910252007,             0, 0 
12, 1.0000000000000002e-06,             0.20792849701773894, 0.2060614051116407, 0.0018670919060982186,             0.2780140995270605, 0.2759464015864941, 0.0020676979405664,             0, 0 
13, 1.0000000000000002e-06,             0.20770119000569637, 0.20584968365828663, 0.0018515063474097567,             0.23664410425261193, 0.23470920044857205, 0.0019349038040398859,             0, 0 
14, 1.0000000000000002e-06,             0.20740861394756074, 0.2055764221420982, 0.0018321918054625432,             0.25275517340524817, 0.2507647689572213, 0.001990404448026883,             0, 0 
15, 1.0000000000000002e-07,             0.20570353663207017, 0.2039872187489802, 0.001716317883089942,             0.21979033401738196, 0.21811373076536947, 0.0016766032520125044,             0, 0 
16, 1.0000000000000002e-07,             0.20554998360698867, 0.20394745627786198, 0.0016025273291266939,             0.2184077740547261, 0.21680904532583012, 0.0015987287288960097,             0, 0 
17, 1.0000000000000002e-07,             0.2054738588552984, 0.20394166267794486, 0.0015321961773535435,             0.21922739236517336, 0.21769235919385027, 0.0015350331713231042,             0, 0 
18, 1.0000000000000002e-07,             0.20541542525568135, 0.20393607389039628, 0.001479351365285087,             0.21964960926427954, 0.2181573983891756, 0.0014922108751039206,             0, 0 
19, 1.0000000000000002e-07,             0.20533981218784486, 0.20390263509456935, 0.0014371770932755123,             0.21976119561838642, 0.2183023670675386, 0.0014588285508478091,             0, 0 
